name,author,description,average_rating,number_of_reviews,top_of,rated_5,rated_4,rated_3,rated_2,rated_1,top_voted_genre,top_voted_votes,2nd_voted_genre,2nd_voted_votes,3rd_voted_genre,3rd_voted_votes
Peace Talks,Jim Butcher,"HARRY DRESDEN IS BACK AND READY FOR ACTION, in the new entry in the #1 New York Times bestselling Dresden Files. 

 When the Supernatural nations of the world meet up to negotiate an end to ongoing hostilities, Harry Dresden, Chicago's only professional wizard, joins the White Council's security team to make sure the talks stay civil. But can he succeed, when dark political manipulations threaten the very existence of Chicago--and all he holds dear?",4.2,31465,best-fantasy-books-2020,13547,12065,4780,880,193,Fantasy,1346,Fantasy,1005,Fiction,301
The Burning God,R.F. Kuang,"After saving her nation of Nikan from foreign invaders and battling the evil Empress Su Daji in a brutal civil war, Fang Runin was betrayed by allies and left for dead. Despite her losses, Rin hasn’t given up on those for whom she has sacrificed so much—the people of the southern provinces and especially Tikany, the village that is her home. Returning to her roots, Rin meets difficult challenges—and unexpected opportunities. While her new allies in the Southern Coalition leadership are sly and untrustworthy, Rin quickly realizes that the real power in Nikan lies with the millions of common people who thirst for vengeance and revere her as a goddess of salvation. Backed by the masses and her Southern Army, Rin will use every weapon to defeat the Dragon Republic, the colonizing Hesperians, and all who threaten the shamanic arts and their practitioners. As her power and influence grows, though, will she be strong enough to resist the Phoenix’s intoxicating voice urging her to burn the world and everything in it? The exciting end to The Poppy War trilogy, R. F. Kuang’s acclaimed, award-winning epic fantasy that combines the history of twentieth-century China with a gripping world of gods and monsters, to devastating, enthralling effect.",4.31,13335,best-fantasy-books-2020,6945,4213,1688,369,120,Fantasy,1460,Adult,222,Fiction,170
Black Sun,Rebecca Roanhorse,"The first book in the Between Earth and Sky trilogy, inspired by the civilizations of the Pre-Columbian Americas and woven into a tale of celestial prophecies, political intrigue, and forbidden magic.A god will returnWhen the earth and sky convergeUnder the black sunIn the holy city of Tova, the winter solstice is usually a time for celebration and renewal, but this year it coincides with a solar eclipse, a rare celestial event proscribed by the Sun Priest as an unbalancing of the world.Meanwhile, a ship launches from a distant city bound for Tova and set to arrive on the solstice. The captain of the ship, Xiala, is a disgraced Teek whose song can calm the waters around her as easily as it can warp a man’s mind. Her ship carries one passenger. Described as harmless, the passenger, Serapio, is a young man, blind, scarred, and cloaked in destiny. As Xiala well knows, when a man is described as harmless, he usually ends up being a villain.",4.25,13711,best-fantasy-books-2020,6122,5392,1748,347,102,Fantasy,2579,Fiction,432,Adult,251
Smoke Bitten,Patricia Briggs,"Mercy Thompson, car mechanic and shapeshifter, faces a threat unlike any other in this thrilling entry in the #1 New York Times bestselling series. I am Mercedes Athena Thompson Hauptman.  My only ""superpowers"" are that I turn into a thirty-five pound coyote and fix Volkswagens. But I have friends in odd places and a pack of werewolves at my back. It looks like I'm going to need them.Centuries ago, the fae dwelt in Underhill--until she locked her doors against them. They left behind their great castles and troves of magical artifacts. They abandoned their prisoners and their pets. Without the fae to mind them, those creatures who remained behind roamed freely through Underhill wreaking havoc. Only the deadliest survived.Now one of those prisoners has escaped. It can look like anyone, any creature it chooses. But if it bites you, it controls you. It lives for chaos and destruction. It can make you do anything--even kill the person you love the most. Now it is here, in the Tri-Cities. In my territory.It won't, can't, remain. Not if I have anything to say about it.",4.43,21647,best-fantasy-books-2020,11848,7488,2039,211,61,Fantasy,911,Fantasy,623,Fantasy,361
The Girl and the Stars,Mark  Lawrence,"In the ice, east of the Black Rock, there is a hole into which broken children are thrown.On Abeth the vastness of the ice holds no room for individuals. Survival together is barely possible. No one survives alone.To resist the cold, to endure the months of night when even the air itself begins to freeze, requires a special breed. Variation is dangerous, difference is fatal. And Yaz is not the same.Yaz is torn from the only life she’s ever known, away from her family, from the boy she thought she would spend her days with, and has to carve out a new path for herself in a world whose existence she never suspected. A world full of difference and mystery and danger.Yaz learns that Abeth is older and stranger than she had ever imagined. She learns that her weaknesses are another kind of strength. And she learns to challenge the cruel arithmetic of survival that has always governed her people.Only when it’s darkest you can see the stars.",3.85,5864,best-fantasy-books-2020,1730,2153,1456,419,106,Fantasy,873,Fiction,84,Adult,67
The Empress of Salt and Fortune,Nghi Vo,"A young royal from the far north is sent south for a political marriage in an empire reminiscent of imperial China. Her brothers are dead, her armies and their war mammoths long defeated and caged behind their borders. Alone and sometimes reviled, she must choose her allies carefully.Rabbit, a handmaiden, sold by her parents to the palace for the lack of five baskets of dye, befriends the emperor's lonely new wife and gets more than she bargained for.At once feminist high fantasy and an indictment of monarchy, this evocative debut follows the rise of the empress In-yo, who has few resources and fewer friends. She's a northern daughter in a mage-made summer exile, but she will bend history to her will and bring down her enemies, piece by piece.",4.05,12436,best-fantasy-books-2020,4200,5273,2410,469,84,Fantasy,2206,Novella,427,Fiction,384
Battle Ground,Jim Butcher,"THINGS ARE ABOUT TO GET SERIOUS FOR HARRY DRESDEN, CHICAGO’S ONLY PROFESSIONAL WIZARD, in the next entry in the #1 New York Times bestselling Dresden Files.Harry has faced terrible odds before. He has a long history of fighting enemies above his weight class. The Red Court of vampires. The fallen angels of the Order of the Blackened Denarius. The Outsiders.But this time it’s different. A being more powerful and dangerous on an order of magnitude beyond what the world has seen in a millennium is coming. And she’s bringing an army. The Last Titan has declared war on the city of Chicago, and has come to subjugate humanity, obliterating any who stand in her way.Harry’s mission is simple but impossible: Save the city by killing a Titan. And the attempt will change Harry’s life, Chicago, and the mortal world forever.---Includes the short story ""Christmas Eve"".",4.39,28067,best-fantasy-books-2020,15855,8446,2794,716,256,Fantasy,1027,Fantasy,759,Fiction,219
Wintersteel,Will Wight,"As the Uncrowned King tournament reaches its final rounds, tensions between the competing factions are higher than ever. The outcome may determine the power balance throughout the rest of the world.Each Monarch schemes to seize any advantage they can...while far away, a Dreadgod stirs.When the tournament ends, the Dreadgod will rise. Whether it will be driven back into the sea or allowed to rampage depends on the Monarchs.And on which of them is left standing.",4.75,9626,best-fantasy-books-2020,7589,1699,280,40,18,Fantasy,247,Fiction,22,Fantasy,19
The Bone Shard Daughter,Andrea Stewart,"The emperor's reign has lasted for decades, his mastery of bone shard magic powering the animal-like constructs that maintain law and order. But now his rule is failing, and revolution is sweeping across the Empire's many islands.Lin is the emperor's daughter and spends her days trapped in a palace of locked doors and dark secrets. When her father refuses to recognise her as heir to the throne, she vows to prove her worth by mastering the forbidden art of bone shard magic.Yet such power carries a great cost, and when the revolution reaches the gates of the palace, Lin must decide how far she is willing to go to claim her birthright - and save her people.",4.11,7322,best-fantasy-books-2020,2626,3211,1190,239,56,Fantasy,1739,Adult,203,LGBT,203
The Trouble With Peace,Joe Abercrombie,"Conspiracy. Betrayal. Rebellion.Peace is just another kind of battlefield...Savine dan Glokta, once Adua’s most powerful investor, finds her judgement, fortune and reputation in tatters. But she still has all her ambitions, and no scruple will be permitted to stand in her way.For heroes like Leo dan Brock and Stour Nightfall, only happy with swords drawn, peace is an ordeal to end as soon as possible. But grievances must be nursed, power seized and allies gathered first, while Rikke must master the power of the Long Eye . . . before it kills her.The Breakers still lurk in the shadows, plotting to free the common man from his shackles, while noblemen bicker for their own advantage. Orso struggles to find a safe path through the maze of knives that is politics, only for his enemies, and his debts, to multiply.The old ways are swept aside, and the old leaders with them, but those who would seize the reins of power will find no alliance, no friendship, and no peace, lasts forever.",4.64,10219,best-fantasy-books-2020,7123,2631,404,47,14,Fantasy,638,Fiction,71,Fantasy,25
Age of Empyre,Michael J. Sullivan,"A door opens. An army of dragons advance. And the fate of the living rests with the dead.After obtaining the secret to creating dragons, the leader of the Fhrey has turned the tide of war once more—but gaining the advantage has come at a terrible price. While Imaly plots to overthrow the fane for transgressions against his people, a mystic and a keeper are the only hope for the Rhunes. Time is short, and the future of both races hangs in the balance. In this exciting conclusion to the Legends of the First Empire series, the Great War finally comes to a climactic end, and with it dawns a new era in the Age of Empyre.From the New York Times and USA Today bestselling author Michael J. Sullivan comes the concluding installment of his six-book epic fantasy. This series chronicles a pivotal point in Elan’s history when humans and those they once saw as gods warred until a new world order was born. Set three thousand years before the Riyria tales, Legends is a standalone fantasy series that is independent of the Riyria novels. But for those who do read both series, Legends will unmask lies and reveal the truth about Elan’s history and the men and women who shaped what the world became.",4.39,5391,best-fantasy-books-2020,2893,1840,558,76,24,Fantasy,477,Fiction,46,Fantasy,41
From Blood and Ash,Jennifer L. Armentrout,"A Maiden Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy by the gods. But the choice has never been hers.A Duty The entire kingdom’s future rests on Poppy’s shoulders, something she’s not even quite sure she wants for herself. Because a Maiden has a heart. And a soul. And longing. And when Hawke, a golden-eyed guard honor bound to ensure her Ascension, enters her life, destiny and duty become tangled with desire and need. He incites her anger, makes her question everything she believes in, and tempts her with the forbidden.A KingdomForsaken by the gods and feared by mortals, a fallen kingdom is rising once more, determined to take back what they believe is theirs through violence and vengeance. And as the shadow of those cursed draws closer, the line between what is forbidden and what is right becomes blurred. Poppy is not only on the verge of losing her heart and being found unworthy by the gods, but also her life when every blood-soaked thread that holds her world together begins to unravel.",4.31,128978,best-romance-books-2020,72030,35986,13233,4570,3159,Fantasy,4898,Romance,2208,New Adult,709
Beach Read,Emily Henry,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.They're polar opposites.In fact, the only thing they have in common is that for the next three months, they're living in neighboring beach houses, broke, and bogged down with writer's block.Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts: Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. She'll take him on field trips worthy of any rom-com montage, and he'll take her to interview surviving members of a backwoods death cult (obviously). Everyone will finish a book and no one will fall in love. Really.",4.03,174898,best-romance-books-2020,58217,74390,33777,6854,1660,Romance,833,Adult Fiction,287,Contemporary,222
In Five Years,Rebecca Serle,"Where do you see yourself in five years? When Type-A Manhattan lawyer Dannie Kohan is asked this question at the most important interview of her career, she has a meticulously crafted answer at the ready. Later, after nailing her interview and accepting her boyfriend's marriage proposal, Dannie goes to sleep knowing she is right on track to achieve her five-year plan. But when she wakes up, she’s suddenly in a different apartment, with a different ring on her finger, and beside a very different man. The television news is on in the background, and she can just make out the scrolling date. It’s the same night—December 15—but 2025, five years in the future. After a very intense, shocking hour, Dannie wakes again, at the brink of midnight, back in 2020. She can’t shake what has happened. It certainly felt much more than merely a dream, but she isn’t the kind of person who believes in visions. That nonsense is only charming coming from free-spirited types, like her lifelong best friend, Bella. Determined to ignore the odd experience, she files it away in the back of her mind. That is, until four-and-a-half years later, when by chance Dannie meets the very same man from her long-ago vision. Brimming with joy and heartbreak, In Five Years is an unforgettable love story that reminds us of the power of loyalty, friendship, and the unpredictable nature of destiny.",3.83,165428,best-romance-books-2020,43284,67521,41487,10277,2859,Fiction,1444,Romance,1334,Contemporary,698
Regretting You,Colleen Hoover,"Morgan Grant and her sixteen-year-old daughter, Clara, would like nothing more than to be nothing alike.Morgan is determined to prevent her daughter from making the same mistakes she did. By getting pregnant and married way too young, Morgan put her own dreams on hold. Clara doesn’t want to follow in her mother’s footsteps. Her predictable mother doesn’t have a spontaneous bone in her body.With warring personalities and conflicting goals, Morgan and Clara find it increasingly difficult to coexist. The only person who can bring peace to the household is Chris—Morgan’s husband, Clara’s father, and the family anchor. But that peace is shattered when Chris is involved in a tragic and questionable accident. The heartbreaking and long-lasting consequences will reach far beyond just Morgan and Clara.While struggling to rebuild everything that crashed around them, Morgan finds comfort in the last person she expects to, and Clara turns to the one boy she’s been forbidden to see. With each passing day, new secrets, resentment, and misunderstandings make mother and daughter fall further apart. So far apart, it might be impossible for them to ever fall back together.",4.24,91481,best-romance-books-2020,42173,33177,12691,2485,955,Romance,1156,Contemporary,472,Fiction,360
Boyfriend Material,Alexis  Hall,"Wanted:One (fake) boyfriendPractically perfect in every wayLuc O'Donnell is tangentially--and reluctantly--famous. His rock star parents split when he was young, and the father he's never met spent the next twenty years cruising in and out of rehab. Now that his dad's making a comeback, Luc's back in the public eye, and one compromising photo is enough to ruin everything.To clean up his image, Luc has to find a nice, normal relationship...and Oliver Blackwood is as nice and normal as they come. He's a barrister, an ethical vegetarian, and he's never inspired a moment of scandal in his life. In other words: perfect boyfriend material. Unfortunately apart from being gay, single, and really, really in need of a date for a big event, Luc and Oliver have nothing in common. So they strike a deal to be publicity-friendly (fake) boyfriends until the dust has settled. Then they can go their separate ways and pretend it never happened.But the thing about fake-dating is that it can feel a lot like real-dating. And that's when you get used to someone. Start falling for them. Don't ever want to let them go.",4.14,35065,best-romance-books-2020,13823,14131,5607,1145,359,Romance,2661,LGBT,1101,Contemporary,988
"Take a Hint, Dani Brown",Talia Hibbert,"Talia Hibbert returns with another charming romantic comedy about a young woman who agrees to fake date her friend after a video of him “rescuing” her from their office building goes viral...Danika Brown knows what she wants: professional success, academic renown, and an occasional roll in the hay to relieve all that career-driven tension. But romance? Been there, done that, burned the T-shirt. Romantic partners, whatever their gender, are a distraction at best and a drain at worst. So Dani asks the universe for the perfect friend-with-benefits—someone who knows the score and knows their way around the bedroom. When brooding security guard Zafir Ansari rescues Dani from a workplace fire drill gone wrong, it’s an obvious sign: PhD student Dani and ex-rugby player Zaf are destined to sleep together. But before she can explain that fact, a video of the heroic rescue goes viral. Now half the internet is shipping #DrRugbae—and Zaf is begging Dani to play along. Turns out, his sports charity for kids could really use the publicity. Lying to help children? Who on earth would refuse? Dani’s plan is simple: fake a relationship in public, seduce Zaf behind the scenes. The trouble is, grumpy Zaf’s secretly a hopeless romantic—and he’s determined to corrupt Dani’s stone-cold realism. Before long, he’s tackling her fears into the dirt. But the former sports star has issues of his own, and the walls around his heart are as thick as his... um, thighs. Suddenly, the easy lay Dani dreamed of is more complex than her thesis. Has her wish backfired? Is her focus being tested? Or is the universe just waiting for her to take a hint?",4.11,37287,best-romance-books-2020,13254,16261,6476,1052,244,Romance,3052,Contemporary,896,Fiction,445
One to Watch,Kate Stayman-London,"Bea Schumacher is a devastatingly stylish plus-size fashion blogger who has amazing friends, a devoted family, legions of Insta followers--and a massively broken heart. Like the rest of America, Bea indulges in her weekly obsession: the hit reality show Main Squeeze. The fantasy dates! The kiss-off rejections! The surprising amount of guys named Chad! But Bea is sick and tired of the lack of body diversity on the show. Since when is being a size zero a prerequisite for getting engaged on television?Just when Bea has sworn off dating altogether, she gets an intriguing call: Main Squeeze wants her to be its next star, surrounded by men vying for her affections. Bea agrees, on one condition--under no circumstances will she actually fall in love. She's in this to supercharge her career, subvert harmful anti-fat beauty standards, inspire women across America, and get a free hot air balloon ride. That's it.But when the cameras start rolling, Bea realizes things are more complicated than she anticipated. She's in a whirlwind of sumptuous couture, Internet culture wars, sexy suitors, and an opportunity (or two, or five) to find messy, real-life love in the midst of a made-for-TV fairy tale.",3.95,59616,best-romance-books-2020,17269,26346,12683,2655,663,Romance,2014,Fiction,692,Contemporary,659
The Happy Ever After Playlist,Abby Jimenez,"Two years after losing her fiancé, Sloan Monroe still can't seem to get her life back on track. But one trouble-making pup with a ""take me home"" look in his eyes is about to change everything. With her new pet by her side, Sloan finally starts to feel more like herself. Then, after weeks of unanswered texts, Tucker's owner reaches out. He's a musician on tour in Australia. And bottom line: He wants Tucker back.Well, Sloan's not about to give up her dog without a fight. But what if this Jason guy really loves Tucker? As their flirty texts turn into long calls, Sloan can't deny a connection. Jason is hot and nice and funny. There's no telling what could happen when they meet in person. The question is: With his music career on the rise, how long will Jason really stick around? And is it possible for Sloan to survive another heartbreak?From the USA Today bestselling author of The Friend Zone comes an adorable and fresh romantic comedy about one trouble-making dog who brings together two perfect strangers.",4.16,38704,best-romance-books-2020,15804,15173,6105,1302,320,Romance,1481,Contemporary,394,Fiction,317
The Switch,Beth O'Leary,"Eileen, newly single and about to turn eighty, would like a second chance at love, but her tiny Yorkshire village doesn't offer many eligible gentlemen. Then in bustling London, Eileen's twentysomething, overachieving granddaughter Leena is ordered to take a two-month sabbatical after blowing a big presentation at work.Once Leena learns of Eileen's romantic predicament, she proposes a solution: a two-month swap. Eileen will live in London and look for love. Meanwhile Leena will rest and take care of things in rural Yorkshire. But trading places isn't as easy as either of them expected. Will swapping lives help Eileen and Leena find themselves…and maybe even find love?",4.04,52810,best-romance-books-2020,16603,23802,10642,1479,284,Romance,1298,Fiction,626,Contemporary,610
You Had Me at Hola,Alexis Daria,"Leading Ladies do not end up on tabloid covers. After a messy public breakup, soap opera darling Jasmine Lin Rodriguez finds her face splashed across the tabloids. When she returns to her hometown of New York City to film the starring role in a bilingual romantic comedy for the number one streaming service in the country, Jasmine figures her new “Leading Lady Plan” should be easy enough to follow—until a casting shake-up pairs her with telenovela hunk Ashton Suárez. Leading Ladies don’t need a man to be happy. After his last telenovela character was killed off, Ashton is worried his career is dead as well. Joining this new cast as a last-minute addition will give him the chance to show off his acting chops to American audiences and ping the radar of Hollywood casting agents. To make it work, he’ll need to generate smoking-hot on-screen chemistry with Jasmine. Easier said than done, especially when a disastrous first impression smothers the embers of whatever sexual heat they might have had. Leading Ladies do not rebound with their new costars. With their careers on the line, Jasmine and Ashton agree to rehearse in private. But rehearsal leads to kissing, and kissing leads to a behind-the-scenes romance worthy of a soap opera. While their on-screen performance improves, the media spotlight on Jasmine soon threatens to destroy her new image and expose Ashton’s most closely guarded secret.",3.73,17235,best-romance-books-2020,3405,7413,5045,1142,230,Romance,1583,Contemporary,440,Fiction,262
The Two Lives of Lydia Bird,Josie Silver,"Lydia and Freddie. Freddie and Lydia. They'd been together for more than a decade, and Lydia thought their love was indestructible.But she was wrong. On her twenty-eighth birthday, Freddie died in a car accident.So now it's just Lydia, and all she wants to do is hide indoors and sob until her eyes fall out. But Lydia knows that Freddie would want her to try to live fully, happily, even without him. So, enlisting the help of his best friend, Jonah, and her sister, Elle, she takes her first tentative steps into the world, open to life--and perhaps even love--again.But then something inexplicable happens that gives her another chance at her old life with Freddie. A life where none of the tragic events of the past few months have happened.Lydia is pulled again and again across the doorway of her past, living two lives, impossibly, at once. But there's an emotional toll to returning to a world where Freddie, alive, still owns her heart. Because there's someone in her new life, her real life, who wants her to stay.Written with Josie Silver's trademark warmth and wit, The Two Lives of Lydia Bird is a powerful and thrilling love story about the what-ifs that arise at life's crossroads, and what happens when one woman is given a miraculous chance to answer them.",3.78,43084,best-romance-books-2020,9853,18004,11937,2663,627,Romance,1029,Fiction,467,Contemporary,385
Party of Two,Jasmine Guillory,"A chance meeting with a handsome stranger turns into a whirlwind affair that gets everyone talking.Dating is the last thing on Olivia Monroe's mind when she moves to LA to start her own law firm. But when she meets a gorgeous man at a hotel bar and they spend the entire night flirting, she discovers too late that he is none other than hotshot junior senator Max Powell. Olivia has zero interest in dating a politician, but when a cake arrives at her office with the cutest message, she can't resist--it is chocolate cake, after all.Olivia is surprised to find that Max is sweet, funny, and noble--not just some privileged white politician she assumed him to be. Because of Max's high-profile job, they start seeing each other secretly, which leads to clandestine dates and silly disguises. But when they finally go public, the intense media scrutiny means people are now digging up her rocky past and criticizing her job, even her suitability as a trophy girlfriend. Olivia knows what she has with Max is something special, but is it strong enough to survive the heat of the spotlight?",3.8,28675,best-romance-books-2020,6204,12597,7983,1580,311,Romance,1102,Fiction,342,Contemporary,238
A Rogue of One's Own,Evie Dunmore,"A lady must have money and an army of her own if she is to win a revolution - but first, she must pit her wits against the wiles of an irresistible rogue bent on wrecking her plans...and her heart. Lady Lucie is fuming. She and her band of Oxford suffragists have finally scraped together enough capital to control one of London’s major publishing houses, with one purpose: to use it in a coup against Parliament. But who could have predicted that the one person standing between her and success is her old nemesis, Lord Ballentine? Or that he would be willing to hand over the reins for an outrageous price—a night in her bed. Lucie tempts Tristan like no other woman, burning him up with her fierceness and determination every time they clash. But as their battle of wills and words fans the flames of long-smouldering devotion, the silver-tongued seducer runs the risk of becoming caught in his own snare. As Lucie tries to out-manoeuvre Tristan in the boardroom and the bedchamber, she soon discovers there’s truth in what the poets say: all is fair in love and war…",4.03,16346,best-romance-books-2020,5246,7237,3153,562,148,Romance,1144,Historical,518,Romance,442
In a Holidaze,Christina Lauren,"One Christmas wish, two brothers, and a lifetime of hope are on the line for hapless Maelyn Jones in In a Holidaze, the quintessential holiday romantic novel by Christina Lauren, the New York Times bestselling author of The Unhoneymooners..It’s the most wonderful time of the year…but not for Maelyn Jones. She’s living with her parents, hates her going-nowhere job, and has just made a romantic error of epic proportions.But perhaps worst of all, this is the last Christmas Mae will be at her favorite place in the world—the snowy Utah cabin where she and her family have spent every holiday since she was born, along with two other beloved families. Mentally melting down as she drives away from the cabin for the final time, Mae throws out what she thinks is a simple plea to the universe: Please. Show me what will make me happy.The next thing she knows, tires screech and metal collides, everything goes black. But when Mae gasps awake…she’s on an airplane bound for Utah, where she begins the same holiday all over again. With one hilarious disaster after another sending her back to the plane, Mae must figure out how to break free of the strange time loop—and finally get her true love under the mistletoe.Jam-packed with yuletide cheer, an unforgettable cast of characters, and Christina Lauren’s trademark “downright hilarious” (Helen Hoang, author of The Bride Test) hijinks, this swoon-worthy romantic read will make you believe in the power of wishes and the magic of the holidays.",3.77,62884,best-romance-books-2020,12968,27532,18029,3656,699,Romance,1806,Holiday,727,Contemporary,624
Emerald Blaze,Ilona Andrews,"Ilona Andrews, #1 New York Times bestselling author, continues her spellbinding series set in the Hidden Legacy world where magic controls everything…except the hearts of those who wield it.As Prime magic users, Catalina Baylor and her sisters have extraordinary powers—powers their ruthless grandmother would love to control. Catalina can earn her family some protection working as deputy to the Warden of Texas, overseeing breaches of magic law in the state, but that has risks as well. When House Baylor is under attack and monsters haunt her every step, Catalina is forced to rely on handsome, dangerous Alessandro Sagredo, the Prime who crushed her heart. The nightmare that Alessandro has fought since childhood has come roaring back to life, but now Catalina is under threat. Not even his lifelong quest for revenge will stop him from keeping her safe, even if every battle could be his last. Because Catalina won't rest until she stops the use of the illicit, power-granting serum that's tearing their world apart.",4.5,14579,best-romance-books-2020,8787,4498,1134,119,41,Fantasy,729,Fantasy,511,Romance,485
Something to Talk About,Meryl Wilsner,"A showrunner and her assistant give the world something to talk about when they accidentally fuel a ridiculous rumor in this debut romance.Hollywood powerhouse Jo is photographed making her assistant Emma laugh on the red carpet, and just like that, the tabloids declare them a couple. The so-called scandal couldn't come at a worse time--threatening Emma's promotion and Jo's new movie.As the gossip spreads, it starts to affect all areas of their lives. Paparazzi are following them outside the office, coworkers are treating them differently, and a ""source"" is feeding information to the media. But their only comment is ""no comment"".With the launch of Jo's film project fast approaching, the two women begin to spend even more time together, getting along famously. Emma seems to have a sixth sense for knowing what Jo needs. And Jo, known for being aloof and outwardly cold, opens up to Emma in a way neither of them expects. They begin to realize the rumor might not be so off base after all...but is acting on the spark between them worth fanning the gossip flames?",3.66,10978,best-romance-books-2020,2322,4007,3441,1011,197,Romance,1120,LGBT,548,Contemporary,327
Sweet Temptation,Cora Reilly,"An Arranged Marriage Standalone Mafia Romance.The first time Cassio met his fiancée, she called him ‘Sir’.After losing his wife, Cassio is left to take care of two small children while trying to establish his rule over Philadelphia. Now he needs a mother for his children, and someone who can warm his bed at night.But in a traditional world as his, choosing your wife is duty not pleasure.Rules have to be followed. Traditions heeded.That’s how he ends up with a woman—a girl barely of age. She might not be what he and his children need, but she’s wicked lovely and a sweet temptation he can’t resist.Giulia always knew she’d marry a man her father chose for her. Only she never expected to be given to someone much older.Suddenly she’s supposed to be a mother to two small children when she hasn’t even held a baby in her life.Giulia quickly realizes that Cassio isn’t interested in a relationship on equal footing. Her mother always warned her that men of power like Cassio don’t tolerate insolence; yet, tired of being treated as a nanny and clueless child-bride, Giulia decides to fight for her vision of a happy family.",4.14,21043,best-romance-books-2020,9171,7213,3481,871,307,Romance,443,Contemporary,129,Romance,105
Hands Down,Mariana Zapata,"Before he was Big Texas, he was Zac the Snack Pack.Bianca Brannen knows time--mostly--heals all wounds. Including those your once loved ones might have unintentionally given you. (Those just take longer.)She thinks she’s ready when a call has her walking back into her old friend’s life. Or at least as prepared as possible to see the starting quarterback in the National Football Organization. Before the lights, the fans, and the millions, he’d been a skinny kid with a heart of gold. Waltzing out of Zac Travis’s life should be easy. Just as easy as he walked out of hers.",4.01,16458,best-romance-books-2020,6572,5316,3195,949,426,Romance,502,Sports,267,Contemporary Romance,220
You Deserve Each Other,Sarah Hogle,"When your nemesis also happens to be your fiancé, happily ever after becomes a lot more complicated in this wickedly funny, lovers-to-enemies-to-lovers romantic comedy debut.Naomi Westfield has the perfect fiancé: Nicholas Rose holds doors open for her, remembers her restaurant orders, and comes from the kind of upstanding society family any bride would love to be a part of. They never fight. They're preparing for their lavish wedding that's three months away. And she is miserably and utterly sick of him.Naomi wants out, but there's a catch: whoever ends the engagement will have to foot the nonrefundable wedding bill. When Naomi discovers that Nicholas, too, has been feigning contentment, the two of them go head-to-head in a battle of pranks, sabotage, and all-out emotional warfare.But with the countdown looming to the wedding that may or may not come to pass, Naomi finds her resolve slipping. Because now that they have nothing to lose, they're finally being themselves--and having fun with the last person they expect: each other.",3.89,31690,best-romance-books-2020,10443,11476,6579,2193,999,Romance,2110,Contemporary,793,Adult,356
Spoiler Alert,Olivia Dade,"Olivia Dade bursts onto the scene in this delightfully fun romantic comedy set in the world of fanfiction, in which a devoted fan goes on an unexpected date with her celebrity crush, who’s secretly posting fanfiction of his own. Marcus Caster-Rupp has a secret. While the world knows him as Aeneas, the star of the biggest show on TV, Gods of the Gates, he's known to fanfiction readers as Book!AeneasWouldNever, an anonymous and popular poster.  Marcus is able to get out his own frustrations with his character through his stories, especially the ones that feature the internet’s favorite couple to ship, Aeneas and Lavinia. But if anyone ever found out about his online persona, he’d be fired. Immediately.April Whittier has secrets of her own. A hardcore Lavinia fan, she’s hidden her fanfiction and cosplay hobby from her “real life” for years—but not anymore. When she decides to post her latest Lavinia creation on Twitter, her photo goes viral. Trolls and supporters alike are commenting on her plus-size take, but when Marcus, one half of her OTP, sees her pic and asks her out on a date to spite her critics, she realizes life is really stranger than fanfiction.Even though their first date is a disaster, Marcus quickly realizes that he wants much more from April than a one-time publicity stunt. And when he discovers she’s actually Unapologetic Lavinia Stan, his closest fandom friend, he has one more huge secret to hide from her.With love and Marcus’s career on the line, can the two of them stop hiding once and for all, or will a match made in fandom end up prematurely cancelled?",3.8,15378,best-romance-books-2020,3976,6093,3866,1116,327,Romance,1844,Contemporary,588,Fiction,274
To Sleep in a Sea of Stars,Christopher Paolini,"Kira Navárez dreamed of life on new worlds. Now she's awakened a nightmare. During a routine survey mission on an uncolonized planet, Kira finds an alien relic. At first she's delighted, but elation turns to terror when the ancient dust around her begins to move.As war erupts among the stars, Kira is launched into a galaxy-spanning odyssey of discovery and transformation. First contact isn't at all what she imagined, and events push her to the very limits of what it means to be human. While Kira faces her own horrors, Earth and its colonies stand upon the brink of annihilation. Now, Kira might be humanity's greatest and final hope...",3.82,24940,best-science-fiction-books-2020,7151,9568,5469,2009,743,Science Fiction,1292,Fiction,392,Fantasy,390
